AUC ROC,Number of Trees,Max Depth,Min Samples per Leaf
0.5394736842105263,9,1,35
0.5263157894736842,9,1,40
0.5394736842105263,9,1,45
0.513157894736842,9,1,50
0.763888888888889,9,1,55
0.5372807017543859,9,1,60
0.7861842105263157,9,2,10
0.6769005847953216,9,2,15
0.8205409356725145,9,2,20
0.8220029239766082,9,2,25
0.6337719298245613,9,2,30
0.7887426900584795,9,2,35
0.8135964912280702,9,2,40
0.6381578947368421,9,2,45
0.6476608187134503,9,2,50
0.8150584795321637,9,2,55
0.7646198830409356,9,2,60
0.8278508771929823,9,3,10
0.8384502923976609,9,3,15
0.8026315789473686,9,3,20
0.8435672514619882,9,3,25
0.7540204678362574,9,3,30
0.7697368421052632,9,3,35
0.7763157894736843,9,3,40
0.8596491228070176,9,3,45
0.6966374269005847,9,3,50
0.7869152046783625,9,3,55
0.7766812865497076,9,3,60
0.7766812865497076,9,4,10
0.7803362573099416,9,4,15
0.7284356725146199,9,4,20
0.819078947368421,9,4,25
0.7763157894736843,9,4,30
0.8011695906432748,9,4,35
0.6681286549707602,9,4,40
0.8121345029239765,9,4,45
0.7781432748538011,9,4,50
0.7646198830409358,9,4,55
0.8037280701754386,9,4,60
0.7536549707602338,9,5,10
0.798611111111111,9,5,15
0.7923976608187134,9,5,20
0.7653508771929824,9,5,25
0.7741228070175439,9,5,30
0.7744883040935674,9,5,35
0.8230994152046784,9,5,40
0.7441520467836257,9,5,45
0.7865497076023391,9,5,50
0.7079678362573099,9,5,55
0.8150584795321637,9,5,60
0.778874269005848,9,6,10
0.7821637426900585,9,6,15
0.8530701754385965,9,6,20
0.7467105263157894,9,6,25
0.7744883040935673,9,6,30
0.8015350877192983,9,6,35
0.8194444444444444,9,6,40
0.8146929824561403,9,6,45
0.7704678362573099,9,6,50
0.8344298245614035,9,6,55
0.8066520467836257,9,6,60
0.8008040935672514,9,7,10
0.7934941520467836,9,7,15
0.7865497076023391,9,7,20
0.7898391812865497,9,7,25
0.8238304093567252,9,7,30
0.8402777777777777,9,7,35
0.6560672514619884,9,7,40
0.7777777777777778,9,7,45
0.856359649122807,9,7,50
0.8304093567251462,9,7,55
0.8684210526315789,9,7,60
0.7832602339181287,9,8,10
0.8541666666666665,9,8,15
0.793859649122807,9,8,20
0.8205409356725146,9,8,25
0.783625730994152,9,8,30
0.7631578947368423,9,8,35
0.8384502923976609,9,8,40
0.7774122807017544,9,8,45
0.8000730994152047,9,8,50
0.7748538011695907,9,8,55
0.7781432748538013,9,8,60
0.7781432748538011,9,9,10
0.7916666666666666,9,9,15
0.7726608187134503,9,9,20
0.7693713450292398,9,9,25
0.7598684210526316,9,9,30
0.8300438596491226,9,9,35
0.7766812865497077,9,9,40
0.7719298245614035,9,9,45
0.8234649122807016,9,9,50
0.8293128654970758,9,9,55
0.7627923976608186,9,9,60
0.8135964912280702,9,10,10
0.8026315789473684,9,10,15
0.8084795321637426,9,10,20
0.7821637426900585,9,10,25
